R,G,B,Label
154,89,151,VIOLET
150,84,143,VIOLET
148,84,142,VIOLET
150,88,150,VIOLET
144,83,140,VIOLET
128,77,123,VIOLET
165,100,173,VIOLET
130,88,143,VIOLET
70,60,84,VIOLET
64,54,76,VIOLET
162,99,155,VIOLET

0,0,255,BLUE
46,88,148,BLUE
0,24,168,BLUE
2,71,254,BLUE
25,116,210,BLUE
36,107,206,BLUE
0,71,171,BLUE
38,66,139,BLUE
34,67,182,BLUE
16,52,166,BLUE
0,47,167,BLUE
0,0,128,BLUE
0,0,205,BLUE
0,15,137,BLUE

































































